Product_ID,Elasticity
1,-0.001
2,-0.001
3,-0.4256592984098473
4,-0.001
5,-0.2414507851836431
6,-0.6886080903574757
7,-0.14526419077366493
8,-0.2533927528878868
9,-0.001
10,-0.08874489189029183
11,-0.13600053156383712
12,-0.001
13,-0.5234292062538072
14,-0.001
15,-0.001
16,-0.5593165118232479
17,-0.001
18,-0.4036396690990371
19,-0.001
20,-0.0598859870833007
21,-0.46845945472391576
22,-0.45536891018031866
23,-0.3385106513112026
24,-0.001
25,-0.001
26,-0.06430128839890098
27,-0.2604738967204763
28,-0.001
29,-0.11857236235938907
30,-0.30969567480947224
31,-0.38370931647102946
32,-0.016014335734189755
33,-0.001
34,-0.08593151276739293
35,-0.29859551582664273
